alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
IN-738,649.0,cast,ML_ONLY,SUCCESS,887.8031227723347,815.0,1097.0777578912232,1085.0,7.615999130259745,7.0,169.85060408098997,168.0,7.86,52.0,MEDIUM,UNKNOWN,0
IN-738,760.0,cast,ML_ONLY,SUCCESS,872.0937222972807,795.0,1056.3188884697615,965.0,7.8214734298150725,6.5,163.51700867390923,160.0,7.86,52.0,MEDIUM,UNKNOWN,0
IN-738,871.0,cast,ML_ONLY,SUCCESS,580.3152116216929,550.0,730.9637614813229,770.0,10.141623785581125,11.0,152.39543570556506,151.0,7.86,52.0,MEDIUM,UNKNOWN,0
IN-738,982.0,cast,ML_ONLY,SUCCESS,349.53033496102273,345.0,458.21447378220364,455.0,17.29529987472625,13.0,143.9037606200663,140.0,7.86,52.0,MEDIUM,UNKNOWN,0
NIMOCAST* 263,21.0,cast,ML_ONLY,SUCCESS,530.8829923273279,510.0,843.0871091881685,730.0,30.71138768461939,18.0,210.0562626622022,,8.29,2.7,MEDIUM,UNKNOWN,0
IN-731,21.0,cast,ML_ONLY,SUCCESS,867.6229029888736,725.0,1076.521263457993,835.0,9.500478043612592,6.5,188.4290068015208,,7.44,71.6,MEDIUM,UNKNOWN,0
IN-731,649.0,cast,ML_ONLY,SUCCESS,865.4442980176116,745.0,1065.9966246616186,895.0,8.289457743123101,5.0,160.0482516497086,,7.44,71.6,MEDIUM,UNKNOWN,0
IN-731,760.0,cast,ML_ONLY,SUCCESS,857.2121654880241,770.0,1037.8430918763904,915.0,8.121108220137307,4.5,156.12337006282144,,7.44,71.6,MEDIUM,UNKNOWN,0
IN-731,871.0,cast,ML_ONLY,SUCCESS,631.6252103973366,585.0,775.7490174798453,750.0,8.709077285069867,3.5,150.96016276777993,,7.44,71.6,MEDIUM,UNKNOWN,0
IN-731,982.0,cast,ML_ONLY,SUCCESS,398.31839892190135,360.0,521.4401579318112,525.0,11.13284223281289,6.5,143.27235801547278,,7.44,71.6,MEDIUM,UNKNOWN,0
IN-731,1093.0,cast,ML_ONLY,SUCCESS,398.31839892190135,170.0,521.4401579318112,275.0,11.185093590202058,7.5,141.87324314745155,,7.44,71.6,MEDIUM,UNKNOWN,0
WASPALOY*,21.0,wrought,ML_ONLY,SUCCESS,813.4771953964903,795.0,1217.3187809377237,1275.0,20.313848822171387,25.0,213.25656506275422,213.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,93.0,wrought,ML_ONLY,SUCCESS,806.1230999375059,,1216.8114567189737,,20.192562429959473,,211.45234292242378,210.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,204.0,wrought,ML_ONLY,SUCCESS,805.7013651851848,,1215.508910748676,,20.18593573661017,,206.8938955590417,204.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,316.0,wrought,ML_ONLY,SUCCESS,804.4937524572339,,1213.8764611227152,,20.20769678126416,,200.63476626447908,197.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,427.0,wrought,ML_ONLY,SUCCESS,804.4937524572339,,1213.8764611227152,,20.20769678126416,,194.54068579736537,191.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,538.0,wrought,ML_ONLY,SUCCESS,775.8979577794995,725.0,1188.5203820211527,1170.0,19.871764449084054,23.0,183.87032744710152,184.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,649.0,wrought,ML_ONLY,SUCCESS,767.205544420111,690.0,1135.8922819903555,1115.0,17.768789324680224,34.0,175.63969338879622,177.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,760.0,wrought,ML_ONLY,SUCCESS,737.8980044613604,675.0,980.739431276986,795.0,18.119376842525007,28.0,168.41895024962253,168.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,871.0,wrought,ML_ONLY,SUCCESS,476.15542414901404,520.0,520.518073771889,525.0,20.833597199052534,35.0,154.6588345372409,158.0,8.07,19.1,MEDIUM,UNKNOWN,0
WASPALOY*,982.0,wrought,ML_ONLY,SUCCESS,302.6410553444382,140.0,332.2701332539501,195.0,27.07315450574987,,145.136322969111,146.0,8.07,19.1,MEDIUM,UNKNOWN,0
NIMONIC* 901,21.0,wrought,ML_ONLY,SUCCESS,843.0870531093308,896.0,1117.0667877137573,1207.0,18.68456307658741,15.0,196.4154682457681,206.0,8.0,23.5,MEDIUM,UNKNOWN,0
NIMONIC* 901,538.0,wrought,ML_ONLY,SUCCESS,806.0484887245427,792.0,1085.1521811965845,1035.0,18.577097612812246,15.0,168.7015929117892,,8.0,23.5,MEDIUM,UNKNOWN,0
NIMONIC* 901,649.0,wrought,ML_ONLY,SUCCESS,800.2345027303625,792.0,1031.992842246788,966.0,16.792002031527847,15.0,161.10252020073034,,8.0,23.5,MEDIUM,UNKNOWN,0
NIMONIC* 901,760.0,wrought,ML_ONLY,SUCCESS,755.5009788736946,689.0,892.2847823201497,828.0,17.822330273859922,15.0,156.04863195204916,,8.0,23.5,MEDIUM,UNKNOWN,0
NIMONIC* 901,871.0,wrought,ML_ONLY,SUCCESS,539.4751203527499,345.0,479.97713627368944,483.0,20.32272458418141,30.0,143.3422390657218,,8.0,23.5,MEDIUM,UNKNOWN,0
