alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
Alloy 725,20.0,wrought,ML_ONLY,SUCCESS,816.6123497276619,827.0,1117.2631613583785,1170.0,22.24764900827784,35.0,196.47702987947207,,8.31,16.4,MEDIUM,UNKNOWN,0
Haynes 244,20.0,wrought,ML_ONLY,SUCCESS,555.3197150839534,860.0,848.2781787463458,1240.0,35.80885285574101,12.0,169.40836040892867,,9.28,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 22™ Nickel-Base Alloy,20.0,wrought,ML_ONLY,SUCCESS,424.4566531108692,345.0,802.2523496035054,724.0,39.94170973564336,67.0,198.93896116726697,207.0,8.71,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,20.0,wrought,ML_ONLY,SUCCESS,491.2591426078534,415.0,808.5805041545142,790.0,39.81985108139285,50.0,197.14800424033479,205.0,8.84,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,21.0,wrought,ML_ONLY,SUCCESS,491.2591426078534,415.0,808.5805041545142,790.0,39.81985108139285,50.0,197.14800424033479,205.0,8.84,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,93.0,wrought,ML_ONLY,SUCCESS,483.2353388969159,380.0,808.2568957560767,725.0,39.81977669479617,50.0,196.4684722633326,,8.84,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,204.0,wrought,ML_ONLY,SUCCESS,483.1279353128007,345.0,805.8899276600256,710.0,39.81977669479617,50.0,192.33276435209967,,8.84,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,316.0,wrought,ML_ONLY,SUCCESS,480.11543780566325,315.0,792.1626068269945,675.0,39.81977669479617,55.0,186.77678635025325,,8.84,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,427.0,wrought,ML_ONLY,SUCCESS,479.7542066361135,290.0,791.5857490510477,655.0,39.81977669479617,60.0,181.3613740685198,,8.84,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,538.0,wrought,ML_ONLY,SUCCESS,431.4478678355179,270.0,746.4419807405009,640.0,39.65277115585574,60.0,173.81238825139405,,8.84,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 600™ Nickel-Base Alloy,20.0,wrought,ML_ONLY,SUCCESS,437.8101625944206,255.0,788.9521091606932,640.0,32.087838280458186,45.0,183.1275985388682,207.0,8.44,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 601™ Nickel-Base Alloy,20.0,wrought,ML_ONLY,SUCCESS,419.28727172710535,440.0,779.7298873486777,790.0,43.39369354393509,45.0,191.59554531441694,205.0,7.99,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,20.0,wrought,ML_ONLY,SUCCESS,607.2807518563527,485.0,927.7441945751234,940.0,34.59780909324675,46.0,200.36833196472517,205.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,21.0,wrought,ML_ONLY,SUCCESS,607.2807518563527,485.0,927.7441945751234,940.0,34.59780909324675,46.0,200.36833196472514,205.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,93.0,wrought,ML_ONLY,SUCCESS,601.6137596688527,,927.2358327587172,,34.56335474754363,,199.55690227551992,200.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,204.0,wrought,ML_ONLY,SUCCESS,601.3796688074215,,926.3013705754714,,34.56335474754363,,195.17743956662054,195.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,316.0,wrought,ML_ONLY,SUCCESS,599.3989002377192,,918.1795252786817,,34.557846276285275,,189.79368191319566,190.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,427.0,wrought,ML_ONLY,SUCCESS,599.2007680206484,,917.6026675027349,,34.557846276285275,,185.157674753644,185.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,538.0,wrought,ML_ONLY,SUCCESS,565.2472846883995,,882.8629824441412,,34.35999146944551,,177.6160484552604,175.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,649.0,wrought,ML_ONLY,SUCCESS,550.7702369598289,,827.8922771420673,,32.99234375617007,,169.90836785982532,170.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,760.0,wrought,ML_ONLY,SUCCESS,512.8045199642365,,703.8899137053405,,33.40580594521795,,161.8365583098593,160.0,8.34,7.2,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,21.0,wrought,ML_ONLY,SUCCESS,974.8614250985158,1200.0,1197.993807581276,1435.0,17.959491965451296,21.0,199.38782299986354,200.0,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,93.0,wrought,ML_ONLY,SUCCESS,968.9055535164846,,1197.4854457648698,,17.98764729229456,,198.80040243165223,196.0,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,204.0,wrought,ML_ONLY,SUCCESS,968.5957541086211,1125.0,1195.5771035789517,1365.0,18.03145845837053,20.0,193.46796737915923,190.0,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,316.0,wrought,ML_ONLY,SUCCESS,966.691307801827,,1194.9055211813745,,18.125587508206863,,186.6369334253419,184.0,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,427.0,wrought,ML_ONLY,SUCCESS,966.691307801827,1080.0,1194.9055211813745,1325.0,18.125587508206863,19.5,181.58840117108508,178.0,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,538.0,wrought,ML_ONLY,SUCCESS,921.0365338756422,1065.0,1160.824100282937,1280.0,17.95894824959903,19.0,172.43385351880886,171.0,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,649.0,wrought,ML_ONLY,SUCCESS,909.4703876861704,1020.0,1106.8368048480966,1160.0,16.985721418764218,19.0,164.37496432203977,163.0,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,704.0,wrought,ML_ONLY,SUCCESS,903.2533091779983,945.0,1086.1102890359643,1005.0,17.064026810547716,20.0,162.54855641450365,,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,760.0,wrought,ML_ONLY,SUCCESS,843.3864867174061,,948.400193785883,,18.209812976124006,,156.4971022181478,154.0,8.14,23.5,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,-196.0,wrought,ML_ONLY,SUCCESS,392.90929585419156,,777.6106279991607,1035.0,49.47302228988033,46.0,202.39189145151937,,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,-78.0,wrought,ML_ONLY,SUCCESS,392.90929585419156,,777.6106279991607,819.0,49.47302228988033,51.0,203.4747706455022,,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,20.0,wrought,ML_ONLY,SUCCESS,392.9092958541916,324.0,777.6106279991607,720.0,49.473022289880326,,203.28195765180126,196.0,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,200.0,wrought,ML_ONLY,SUCCESS,385.0061769380451,336.0,772.886157531744,713.0,49.487665005334435,41.0,199.8544564990803,185.0,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,204.0,wrought,ML_ONLY,SUCCESS,385.0061769380451,336.0,772.886157531744,713.0,49.487665005334435,41.0,197.21650941656077,185.0,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,427.0,wrought,ML_ONLY,SUCCESS,380.5528461904132,301.0,757.3094797663434,687.0,49.64009683190843,44.0,184.55692330841,,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,600.0,wrought,ML_ONLY,SUCCESS,335.79132006793196,,691.5466186332732,,49.97847482681557,,169.9758813496242,158.0,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,649.0,wrought,ML_ONLY,SUCCESS,331.60516284136946,272.0,654.2686950492888,472.0,49.87159463882729,37.0,167.0539147968898,,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,800.0,wrought,ML_ONLY,SUCCESS,307.6029169994535,,542.4287901541771,,50.774837557824156,,160.11202810301583,143.0,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,871.0,wrought,ML_ONLY,SUCCESS,226.5558464484919,177.0,312.7276419709365,252.0,51.22271494952065,51.0,147.93879424630342,,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,1000.0,wrought,ML_ONLY,SUCCESS,160.08868871187786,,212.45273957342243,,52.02970037208458,,138.03843312788723,126.0,8.31,0.0,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,1093.0,wrought,ML_ONLY,SUCCESS,160.08868871187786,55.0,212.45273957342243,90.0,52.02970037208458,40.0,136.0161102666924,,8.31,0.0,MEDIUM,UNKNOWN,0
